"10",2020-04-26,16013,5.625916564,487,2.82294095874437,NA,NA,NA,NA,NA,0.354065205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184426227,0.102272724,0.781250008,NA,2.464,NA,0.12184508,NA,NA,NA,NA,1.61805732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-04-27,16013,4.9102412513,487,3.42157038575076,NA,NA,NA,NA,NA,0.30384242,NA,NA,NA,NA,NA,NA,NA,NA,0.0591852448,NA,NA,NA,0.201315798,0.524544196,NA,2.47619042,NA,0.056910571,NA,NA,NA,NA,1.2882526015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-04-28,16013,5.8351891949,492,3.43512725937101,NA,NA,NA,NA,NA,0.275297422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153141363,0.627680304,NA,2.95238088,NA,0.0797101459,NA,NA,NA,NA,1.74697908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-04-30,16013,6.40225824773,493,3.33772508782776,NA,NA,NA,NA,NA,0.27421181345,NA,NA,NA,NA,NA,NA,NA,0.15220068708,0.0736607201,NA,NA,0.1545893664,0.1071863529,0.639130422,NA,3.06818199,NA,0.0749999998,NA,NA,NA,NA,1.858096896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-05-01,16013,8.53140608365,492,3.60009324332207,NA,NA,NA,NA,NA,0.39934382495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1647058868,0.143884896,1.08591886,NA,4.40217396,NA,0.0890360559,NA,NA,NA,NA,2.2463426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-05-02,16013,10.12030363856,492,3.63709913335554,NA,NA,NA,NA,NA,0.34024009376,NA,NA,NA,NA,NA,NA,NA,NA,0.0904295424,NA,NA,0.1650294744,0.144404328,1.433312867,NA,4.72592584,NA,0.147871548,NA,NA,NA,NA,3.073089945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-05-03,16013,8.57424115316,492,3.15585528766563,NA,NA,NA,NA,NA,0.44962796576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2515549316,NA,0.556065559,NA,4.87295062,NA,0.0841121468,NA,NA,NA,NA,2.35992993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-05-04,16013,9.05675505061,493,3.42826483724728,NA,NA,NA,NA,NA,0.55675825821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2583392644,0.212578613,0.89634941,NA,4.23846165,NA,NA,NA,NA,NA,NA,2.894267855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020-05-05,16013,8.39326074418,494,3.59347717402848,NA,NA,NA,NA,NA,0.52330446788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1558803092,0.176980193,0.956549949,NA,3.82170555,NA,0.0842911861,NA,NA,NA,NA,2.674549089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020-05-06,16013,8.41294264404,494,3.32870784478411,NA,NA,NA,NA,NA,0.39572899204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205527988,0.163212434,1.02675162,NA,3.58024691,NA,NA,NA,NA,NA,NA,3.0414747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
