"10",2020-05-01,45003,120.929660586,95,3.94799218367413,NA,4.947217324,NA,13.423172504,NA,NA,NA,NA,NA,1.363789478,NA,65.03806051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57728119,NA,0.54298643,5.12384481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.36627836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6116179,NA,NA,NA,NA,NA,NA,NA,5.93541208,NA,NA,NA,NA,NA,NA,NA
"11",2020-05-02,45003,125.572330692,99,3.82798681585337,NA,4.568807459,NA,13.940960841,NA,NA,NA,NA,0.362589948,1.393372946,NA,66.0590385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72314046,NA,0.64864866,6.33780168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.83317023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.249429728,NA,NA,NA,NA,NA,NA,NA,7.45537024,NA,NA,NA,NA,NA,NA,NA
"12",2020-05-03,45003,104.37358991,102,3.6028665673288,NA,3.210976346,NA,11.2142408,NA,NA,NA,NA,NA,1.512984091,NA,53.05385588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.731759644,NA,0.48253968,4.60081175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2107199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.588600189,NA,NA,NA,NA,NA,NA,NA,7.76710163,NA,NA,NA,NA,NA,NA,NA
"13",2020-05-04,45003,122.857841978,102,3.88138763086747,NA,4.335483768,NA,14.224874068,NA,NA,NA,NA,NA,1.95726884,NA,62.04985248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.864919406,NA,0.632860046,5.66097425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1855876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.45950336,NA,NA,NA,NA,NA,NA,NA,9.48651816,NA,NA,NA,NA,NA,NA,NA
"14",2020-05-05,45003,127.020826152,102,3.89284038840419,NA,4.51242475,NA,14.583830216,NA,NA,NA,NA,NA,1.90998144,NA,65.93271003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99595962,NA,0.602471675,6.60493062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4642861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.796336101,NA,NA,NA,NA,NA,NA,NA,7.6178956,NA,NA,NA,NA,NA,NA,NA
"15",2020-05-06,45003,133.29672145837,102,3.90698386375434,NA,4.895089212,NA,14.411077395,NA,NA,NA,NA,NA,1.68652606,NA,68.41866672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12653553737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.961240288,NA,0.811999972,7.13375796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.65657544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.521549824,NA,NA,NA,NA,NA,NA,NA,8.67370305,NA,NA,NA,NA,NA,NA,NA
"16",2020-05-07,45003,139.133761213,103,3.93490766605223,NA,5.011301703,NA,15.21156219,NA,NA,NA,NA,NA,1.727313294,NA,70.90018058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.098039264,NA,0.719999994,7.04773718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.86587748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.794312868,NA,NA,NA,NA,NA,NA,NA,9.75743666,NA,NA,NA,NA,NA,NA,NA
"17",2020-05-08,45003,148.845294364,106,3.9639877610518,NA,5.805740127,NA,17.210594811,NA,NA,NA,NA,NA,1.980392138,NA,73.0567605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32352948,NA,0.807207226,7.6504368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1142026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.124256434,NA,NA,NA,NA,2.181501288,NA,NA,10.59067296,NA,NA,NA,NA,NA,NA,NA
"18",2020-05-09,45003,157.292033345,110,3.9293558567171,NA,6.040412235,NA,17.077823862,NA,NA,NA,NA,NA,1.87071926,NA,76.15250776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.114285725,NA,0.811567155,8.82950178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.53571388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78407306,NA,NA,NA,NA,2.760793048,NA,NA,11.31463558,NA,NA,NA,NA,NA,NA,NA
"19",2020-05-10,45003,137.297739753,112,3.82162195852308,NA,4.46900829,NA,15.41219497,NA,NA,NA,NA,NA,2.082017609,NA,66.29791988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.546184772,NA,0.716190464,6.77964969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2463697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.078393008,NA,NA,NA,NA,NA,NA,NA,10.66981137,NA,NA,NA,NA,NA,NA,NA
"20",2020-05-11,45003,147.350137088,113,3.87728801967682,NA,5.724361335,NA,17.049292298,NA,NA,NA,NA,NA,2.240146618,NA,69.38346102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.581250023,NA,1.053698064,7.76103405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.20567066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.38780922,NA,NA,NA,NA,NA,NA,NA,11.9634138,NA,NA,NA,NA,NA,NA,NA
"21",2020-05-12,45003,138.482345644,116,3.84460864539022,NA,5.497502804,NA,15.6672576,NA,NA,NA,NA,NA,1.834827648,NA,70.07472616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.192224648,NA,0.682622256,7.98245595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.01090936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.273948058,NA,NA,NA,NA,NA,NA,NA,9.26587116,NA,NA,NA,NA,NA,NA,NA
"22",2020-05-13,45003,148.859358759,125,3.9258588536007,NA,5.35067885,NA,16.75299986,NA,NA,NA,NA,NA,2.135270109,NA,73.35700674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12809918,NA,0.675592192,8.71910136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.45921402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.965283288,NA,NA,NA,NA,NA,NA,NA,11.31611316,NA,NA,NA,NA,NA,NA,NA
"23",2020-05-14,45003,161.738903428,128,3.96196244041902,NA,5.347473183,NA,18.333990871,NA,NA,NA,NA,NA,2.240250943,NA,80.43706408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.941060888,NA,0.624000016,9.50649336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.28550039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.537897777,NA,NA,NA,NA,NA,NA,NA,11.48517192,NA,NA,NA,NA,NA,NA,NA
"24",2020-05-15,45003,166.483743972,130,3.99635259495577,NA,6.003239637,NA,19.318996564,NA,NA,NA,NA,NA,1.893719758,NA,82.45248495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.878727689,NA,1.077959536,10.02524018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.77857076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.749088798,NA,NA,NA,NA,NA,NA,NA,11.3057161,NA,NA,NA,NA,NA,0,NA
"25",2020-05-16,45003,187.67748976594,143,3.92764530655545,NA,5.589743668,NA,18.684554168,NA,NA,NA,NA,NA,1.673172759,NA,84.47372747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.886315704,NA,1.032786848,10.10836554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.28625634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.982037594,NA,NA,NA,NA,3.74161348,NA,13.810454826,12.35626815,NA,NA,NA,NA,NA,0.05219321894,NA
"26",2020-05-17,45003,151.94035467,147,3.72855613086794,NA,4.799647576,NA,14.890415989,NA,NA,NA,NA,NA,1.4423077,NA,67.83735728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26890765,NA,0.906420025,8.3937009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.05271142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.96541241,NA,NA,NA,NA,3.14748192,NA,NA,16.2359918,NA,NA,NA,NA,NA,NA,NA
"27",2020-05-18,45003,159.119685121,148,3.9116158460621,NA,5.977761104,NA,18.17419344,NA,NA,NA,NA,NA,2.02312135,NA,72.93946128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0849421,NA,0.830957212,9.51219516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.40595578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.860878265,NA,NA,NA,NA,NA,NA,NA,16.31021943,NA,NA,NA,NA,NA,NA,NA
"28",2020-05-19,45003,165.54371653,149,3.93385427358735,NA,6.981329334,NA,18.770739364,NA,NA,NA,NA,NA,2.14808045,NA,80.7503325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95652173,NA,0.835443072,10.5302096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.42336562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.90094156,NA,NA,NA,NA,NA,NA,NA,12.2467533,NA,NA,NA,NA,NA,NA,NA
