"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","21019","24001","24021","24043","25019","26099","26115","26147","26163","36019","36029","36033","36063","36089","39009","39013","39043","39081","39087","39095","39111","39123","39167","42003","42051","42055","42059","42125","42129","50011","51043","51059","51069","51107","51840","54003","54011","54017","54019","54027","54031","54033","54035","54037","54039","54045","54049","54051","54061","54075","54077","54079","54081","54083","54099","54101","54107"
"13",2020-05-05,54011,45.644509428,44,3.56133701157672,2.405378388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.86342128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0213807,NA,NA,NA,NA,NA,NA,3.4025497,NA,NA,28.95177936,NA,NA
"14",2020-05-06,54011,43.885820894,44,3.57962427412872,2.146942924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00269928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03825776,NA,NA,NA,NA,NA,NA,3.28977261,NA,NA,27.40814832,NA,NA
"15",2020-05-07,54011,49.625491518,48,3.72243278610174,2.39807699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.237558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.621693058,NA,NA,NA,NA,NA,NA,3.51981099,NA,NA,31.84835248,NA,NA
"16",2020-05-08,54011,47.8624834928,48,3.66603469415126,2.603861425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.27620448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76189551,0.206896548,NA,NA,NA,0.0190476198,NA,3.43009647,NA,NA,29.56448144,NA,NA
"17",2020-05-09,54011,45.442868706,48,3.66699441122786,2.421931636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85512064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6650154,NA,NA,NA,NA,NA,NA,3.83559003,NA,NA,27.665211,NA,NA
"18",2020-05-10,54011,41.463500556,52,3.5988625886367,2.091382444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.51146375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05281906,0.177708492,NA,NA,NA,NA,NA,3.33786393,NA,NA,25.29226288,NA,NA
"19",2020-05-11,54011,49.339871376126,53,3.56103850334456,2.61623694,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144509028126,NA,NA,NA,NA,NA,NA,NA,6.7268395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.68231887,0.327447828,NA,NA,NA,NA,NA,3.32430723,NA,NA,30.51821198,NA,NA
"20",2020-05-12,54011,47.106465388,53,3.56786969512187,2.972864222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17276775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.105217246,0.20900321,NA,NA,NA,NA,NA,3.41636708,NA,NA,29.23024588,NA,NA
"21",2020-05-13,54011,48.881792189,53,3.67007127141223,2.970170402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6217229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.785394034,0.280647653,NA,NA,NA,NA,NA,3.55004138,NA,NA,29.67381582,NA,NA
"22",2020-05-14,54011,53.466995215,53,3.74725373808919,3.425151135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.06398732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.78172667,NA,NA,NA,NA,NA,NA,4.03529403,NA,NA,32.16083606,NA,NA
